N,s,heuristic_min_usage_time,heuristic_optimization_time,gurobi_min_usage_time,gurobi_optimization_time,gurobi_model_build_time
1,1,32.0,0.0009967327117919923,32.0,0.01148688793182373,0.0031175851821899415
2,1,32.0,0.0008125543594360351,32.0,0.016805648803710938,0.004937171936035156
2,2,32.0,0.0008132457733154297,32.0,0.014647150039672851,0.004811501502990723
3,1,31.4,0.0011020183563232421,31.4,0.2034217119216919,0.007717704772949219
3,2,32.0,0.0011141300201416016,32.0,0.02215397357940674,0.006936979293823242
3,3,32.0,0.0010922670364379883,32.0,0.021735477447509765,0.006959676742553711
4,1,26.4,0.0012113809585571288,26.4,0.6719019412994385,0.009151721000671386
4,2,32.0,0.0013744115829467773,32.0,0.027216672897338867,0.008870363235473633
4,3,32.0,0.0012037992477416993,32.0,0.028305554389953615,0.009389519691467285
4,4,32.0,0.00110015869140625,32.0,0.02667219638824463,0.009141874313354493
