Number of Students,s,Execution Times,,,,,,,,,,,Average Execution Times
1,1,0.003988504,0.003988266,0.002992153,0.003989697,0.003990173,0.003988504,0.003988981,0.005984306,0.002993822,0.003987074,0.003989148,0.003989148
2,1,0.005984545,0.005983353,0.003989458,0.006983519,0.004981041,0.002990484,0.003990173,0.00498724,0.002990961,0.00398922,0.004686999,0.004686999
3,2,0.004977703,0.003988981,0.004990339,0.003985643,0.004986763,0.006169081,0.006977797,0.004986525,0.008978605,0.004986525,0.005502796,0.005502796
4,2,0.002991676,0.005982161,0.005985975,0.003987074,0.005986691,0.004963875,0.004987478,0.005981684,0.004994869,0.003976583,0.004983807,0.004983807
5,3,0.005981684,0.003991604,0.006981373,0.005979061,0.003989697,0.004986763,0.006991386,0.003987312,0.004989147,0.005981684,0.005385971,0.005385971
6,3,0.004986763,0.004989147,0.005984068,0.003986359,0.004985809,0.005763054,0.00498867,0.003988743,0.005986691,0.004980803,0.005064011,0.005064011
7,3,0.00498724,0.005983829,0.004989386,0.00498414,0.006980896,0.005984306,0.005983829,0.006981611,0.004985809,0.006989479,0.005885053,0.005885053
8,3,0.004980803,0.004987001,0.006021023,0.004986048,0.004986763,0.006984711,0.005978346,0.003991842,0.006988049,0.004980326,0.005488491,0.005488491
9,4,0.006992817,0.003985643,0.002990484,0.006006002,0.004986763,0.004984856,0.006990433,0.004980087,0.003988981,0.007978439,0.005388451,0.005388451
10,4,0.004986525,0.003989935,0.007976532,0.003987312,0.004987717,0.006983042,0.004983902,0.003991365,0.006989479,0.005001545,0.005387735,0.005387735
11,5,0.006980896,0.003987074,0.006999493,0.004969358,0.003990412,0.008973598,0.004987955,0.005984545,0.005976915,0.004985094,0.005783534,0.005783534
12,5,0.008976698,0.004985332,0.004988432,0.007979393,0.003988981,0.007990122,0.004965305,0.004985332,0.007978678,0.004987478,0.006182575,0.006182575
13,5,0.005984068,0.007991076,0.004974365,0.008975267,0.004985571,0.005991459,0.00648427,0.003989935,0.007988453,0.00598526,0.006334972,0.006334972
14,6,0.006984472,0.004987001,0.00498724,0.008975267,0.005984545,0.007978201,0.005984783,0.00498414,0.00897646,0.005985975,0.006582808,0.006582808
15,6,0.008976221,0.005986214,0.007978916,0.006980419,0.006987333,0.008010387,0.005983114,0.00897646,0.006980419,0.00897789,0.007583737,0.007583737
16,6,0.061842918,0.008966208,0.013961792,0.010974407,0.006979465,0.00897646,0.006982088,0.007982969,0.005564928,0.004983425,0.013721466,0.013721466
17,6,0.007976532,0.005985498,0.007988214,0.004985571,0.004988909,0.009972334,0.006981611,0.008974552,0.005985737,0.007978439,0.00718174,0.00718174
18,7,0.006245375,0.005984783,0.005983591,0.005984545,0.006980181,0.006980181,0.006986141,0.007975817,0.005981922,0.008977652,0.006808019,0.006808019
19,7,0.005982399,0.007979393,0.005983353,0.006980181,0.006483078,0.005983829,0.007978678,0.005984545,0.008974791,0.006982327,0.006931257,0.006931257
20,7,0.006990671,0.006980658,0.007977486,0.00698328,0.005982876,0.007978916,0.006981134,0.006994724,0.006968021,0.006981134,0.00708189,0.00708189
21,8,0.006985426,0.006966591,0.005984068,0.006981611,0.005984306,0.007980824,0.005981922,0.006985188,0.006979227,0.005984783,0.006681395,0.006681395
22,8,0.006980896,0.005984545,0.005983114,0.007979393,0.005982161,0.008406401,0.00699234,0.009973526,0.005984545,0.007978201,0.007224512,0.007224512
23,9,0.006978035,0.006981611,0.00698185,0.006980181,0.007979155,0.005982637,0.006984472,0.006978273,0.005982876,0.008978367,0.007080746,0.007080746
24,9,0.004986048,0.007978916,0.005983829,0.00698185,0.00797677,0.006984472,0.007976294,0.005983829,0.008976698,0.006979227,0.007080793,0.007080793
25,9,0.008975983,0.006982803,0.008976221,0.005982637,0.008975744,0.006980896,0.008974552,0.00698328,0.007979631,0.006979942,0.007779169,0.007779169
26,10,0.00698185,0.009970903,0.005984068,0.008978367,0.006980896,0.008975506,0.00698185,0.008975744,0.00698185,0.008000135,0.007881117,0.007881117
27,10,0.007957458,0.008007765,0.007949352,0.007977247,0.007980585,0.006978989,0.007977247,0.006981611,0.008974314,0.006982565,0.007776713,0.007776713
28,10,0.00897646,0.006981134,0.007979393,0.006982327,0.009971142,0.006982803,0.008975983,0.00698185,0.008976936,0.007977962,0.008078599,0.008078599
29,11,0.006981134,0.007977009,0.006982803,0.007822275,0.006981373,0.008976698,0.007978678,0.041888952,0.018949747,0.015955925,0.013049459,0.013049459
30,11,0.009973288,0.009974957,0.008985996,0.006977797,0.008987188,0.007970095,0.00797677,0.007977962,0.007981777,0.009972811,0.008677864,0.008677864
31,11,0.009977341,0.007977724,0.009973288,0.007977962,0.007979393,0.00698185,0.009973526,0.006982088,0.008974552,0.006980658,0.008377838,0.008377838
32,11,0.008977652,0.007978439,0.007977247,0.006979942,0.008974075,0.00698328,0.009971142,0.006982327,0.009984016,0.00696826,0.008177638,0.008177638
33,12,0.008975267,0.007962704,0.008974552,0.008982182,0.008959532,0.009975672,0.007978678,0.008975506,0.006979465,0.009973764,0.008773732,0.008773732
34,12,0.007980585,0.00897646,0.007603168,0.008975744,0.00897789,0.00897336,0.008976221,0.007978916,0.009970665,0.007980585,0.008639359,0.008639359
35,13,0.010972261,0.009523153,0.008966684,0.009970427,0.007978678,0.010970354,0.007981539,0.009970665,0.008983135,0.008970499,0.00942874,0.00942874
36,13,0.009973288,0.008975744,0.008484602,0.007978678,0.009296417,0.007976532,0.00997448,0.008976698,0.008975029,0.008978367,0.008958983,0.008958983
37,13,0.007912397,0.00997448,0.007978439,0.008976221,0.007979393,0.010970831,0.008975506,0.009971619,0.008980513,0.00797987,0.008969927,0.008969927
38,14,0.009973526,0.010380507,0.009972572,0.009973526,0.007977724,0.010971069,0.008999109,0.008973837,0.010970831,0.007978678,0.009617138,0.009617138
39,14,0.009974718,0.007977962,0.008970976,0.009972095,0.010972261,0.009974003,0.008973837,0.009974241,0.010971546,0.009973049,0.009773469,0.009773469
40,14,0.010970354,0.010970116,0.008976221,0.008974552,0.00897646,0.0109694,0.009974718,0.008975029,0.009974003,0.007979631,0.009674048,0.009674048
41,15,0.008975983,0.011967182,0.0109694,0.009975195,0.008975029,0.009977579,0.010965109,0.009974957,0.008976221,0.010969162,0.010172582,0.010172582
42,15,0.010971546,0.009971857,0.010971546,0.0109725,0.009973049,0.009973049,0.009977102,0.00996995,0.009971142,0.009975195,0.010272694,0.010272694
43,16,0.00897646,0.012964487,0.053855181,0.020946503,0.010970592,0.011965275,0.01097393,0.009959698,0.01096797,0.008976221,0.016055632,0.016055632
44,16,0.009973288,0.011967897,0.008976221,0.009974718,0.008977652,0.009974003,0.010970354,0.008976698,0.010970354,0.009972334,0.010073352,0.010073352
45,16,0.00897646,0.010970831,0.008975029,0.010972023,0.009970665,0.009973526,0.010981321,0.010962009,0.008975506,0.010519028,0.01012764,0.01012764
